House Vote #11 2021-01-07T03:08:00 - On Agreeing to the Objection [Electoral College Votes from Pennsylvania],,,,,
person,state,district,vote,name,party
412823,TX,6,Yea,Rep. Ron Wright [R],Republican
412824,TX,7,Nay,Rep. Lizzie Fletcher [D],Democrat
412825,TX,16,Nay,Rep. Veronica Escobar [D],Democrat
412826,TX,21,Nay,Rep. Chip Roy [R],Republican
412827,TX,29,Nay,Rep. Sylvia Garcia [D],Democrat
412828,TX,32,Nay,Rep. Colin Allred [D],Democrat
412830,VA,2,Nay,Rep. Elaine Luria [D],Democrat
412832,VA,6,Yea,Rep. Ben Cline [R],Republican
412833,VA,7,Nay,Rep. Abigail Spanberger [D],Democrat
412834,VA,10,Nay,Rep. Jennifer Wexton [D],Democrat
412835,WA,8,Nay,Rep. Kim Schrier [D],Democrat
412836,WI,1,Nay,Rep. Bryan Steil [R],Republican
412837,WV,3,Yea,Rep. Carol Miller [R],Republican
412842,ME,2,Nay,Rep. Jared Golden [D],Democrat
412843,PA,12,Yea,Rep. Fred Keller [R],Republican
412844,NC,9,Yea,Rep. Dan Bishop [R],Republican
412845,NC,3,Yea,Rep. Gregory Murphy [R],Republican
456791,WI,7,Yea,Rep. Thomas Tiffany [R],Republican
456792,CA,25,Yea,Rep. Mike Garcia [R],Republican
456793,NY,27,Yea,Rep. Chris Jacobs [R],Republican
456799,AL,1,Yea,Rep. Jerry Carl Jr. [R],Republican
456800,AL,2,Yea,Rep. Felix Moore [R],Republican
456801,CA,8,Yea,Rep. Jay Obernolte [R],Republican
456802,CA,39,Nay,Rep. Young Kim [R],Republican
456803,CA,48,Not Voting,Rep. Michelle Steel [R],Republican
456804,CA,53,Nay,Rep. Sara Jacobs [D],Democrat
456805,CO,3,Yea,Rep. Lauren Boebert [R],Republican
456806,FL,3,Yea,Rep. Katherine Cammack [R],Republican
456807,FL,15,Yea,Rep. Scott Franklin [R],Republican
456808,FL,19,Yea,Rep. Byron Donalds [R],Republican
456809,FL,26,Yea,Rep. Carlos Giménez [R],Republican
456811,GA,5,Nay,Rep. Nikema Williams [D],Democrat
456812,GA,7,Nay,Rep. Carolyn Bourdeaux [D],Democrat
456813,GA,9,Yea,Rep. Andrew Clyde [R],Republican
456814,GA,14,Yea,Rep. Marjorie Greene [R],Republican
456815,HI,2,Nay,Rep. Kaialiʻi Kahele [D],Democrat
456816,IA,1,Nay,Rep. Ashley Hinson [R],Republican
456817,IA,2,Nay,Rep. Mariannette Miller-Meeks [R],Republican
456818,IA,4,Nay,Rep. Randy Feenstra [R],Republican
456819,IL,3,Nay,Rep. Marie Newman [D],Democrat
456820,IL,15,Yea,Rep. Mary Miller [R],Republican
456821,IN,1,Nay,Rep. Frank Mrvan [D],Democrat
456822,IN,5,Nay,Rep. Victoria Spartz [R],Republican
456823,KS,1,Yea,Rep. Tracey Mann [R],Republican
456824,KS,2,Not Voting,Rep. Jacob LaTurner [R],Republican
456825,MA,4,Nay,Rep. Jake Auchincloss [D],Democrat
456826,MI,3,Nay,Rep. Peter Meijer [R],Republican
456827,MI,10,Yea,Rep. Lisa McClain [R],Republican
456828,MN,7,Yea,Rep. Michelle Fischbach [R],Republican
456829,MO,1,Nay,Rep. Cori Bush [D],Democrat
456830,MT,0,Yea,Rep. Matthew Rosendale Sr. [R],Republican
456831,NC,2,Nay,Rep. Deborah Ross [D],Democrat
456832,NC,6,Nay,Rep. Kathy Manning [D],Democrat
456833,NC,11,Yea,Rep. David Cawthorn [R],Republican
456834,NM,2,Yea,Rep. Stella Herrell [R],Republican
456835,NM,3,Nay,Rep. Teresa Fernandez [D],Democrat
456836,NY,2,Nay,Rep. Andrew Garbarino [R],Republican
456837,NY,11,Yea,Rep. Nicole Malliotakis [R],Republican
456838,NY,15,Nay,Rep. Ritchie Torres [D],Democrat
456839,NY,16,Nay,Rep. Jamaal Bowman [D],Democrat
456840,NY,17,Nay,Rep. Mondaire Jones [D],Democrat
456841,OK,5,Yea,Rep. Stephanie Bice [R],Republican
456842,OR,2,Yea,Rep. Cliff Bentz [R],Republican
